,0,1,2,3
L.Thumb_I_d_z,0.0,0.0,0.0,0.0
L.Thumb_D_s_x,0.0,0.0,0.0,0.0
L.Thumb_D_s_y,0.0,0.0,0.0,0.0
L.Thumb_D_s_z,0.0,0.0,0.0,0.0
L.Thumb_D_e_x,0.0,0.0,0.0,0.0
L.Thumb_D_e_y,0.0,0.0,0.0,0.0
L.Thumb_D_e_z,0.0,0.0,0.0,0.0
L.Thumb_D_d_x,0.0,0.0,0.0,0.0
L.Thumb_D_d_y,0.0,0.0,0.0,0.0
L.Thumb_D_d_z,0.0,0.0,0.0,0.0
L.Index_M_s_x,0.0,0.0,0.0,0.0
L.Index_M_s_y,0.0,0.0,0.0,0.0
L.Index_M_s_z,0.0,0.0,0.0,0.0
L.Index_M_e_x,0.0,0.0,0.0,0.0
L.Index_M_e_y,0.0,0.0,0.0,0.0
L.Index_M_e_z,0.0,0.0,0.0,0.0
L.Index_M_d_x,0.0,0.0,0.0,0.0
L.Index_M_d_y,0.0,0.0,0.0,0.0
L.Index_M_d_z,0.0,0.0,0.0,0.0
L.Index_P_s_x,0.0,0.0,0.0,0.0
L.Index_P_s_y,0.0,0.0,0.0,0.0
L.Index_P_s_z,0.0,0.0,0.0,0.0
L.Index_P_e_x,0.0,0.0,0.0,0.0
L.Index_P_e_y,0.0,0.0,0.0,0.0
L.Index_P_e_z,0.0,0.0,0.0,0.0
L.Index_P_d_x,0.0,0.0,0.0,0.0
L.Index_P_d_y,0.0,0.0,0.0,0.0
L.Index_P_d_z,0.0,0.0,0.0,0.0
L.Index_I_s_x,0.0,0.0,0.0,0.0
L.Index_I_s_y,0.0,0.0,0.0,0.0
L.Index_I_s_z,0.0,0.0,0.0,0.0
L.Index_I_e_x,0.0,0.0,0.0,0.0
L.Index_I_e_y,0.0,0.0,0.0,0.0
L.Index_I_e_z,0.0,0.0,0.0,0.0
L.Index_I_d_x,0.0,0.0,0.0,0.0
L.Index_I_d_y,0.0,0.0,0.0,0.0
L.Index_I_d_z,0.0,0.0,0.0,0.0
L.Index_D_s_x,0.0,0.0,0.0,0.0
L.Index_D_s_y,0.0,0.0,0.0,0.0
L.Index_D_s_z,0.0,0.0,0.0,0.0
L.Index_D_e_x,0.0,0.0,0.0,0.0
L.Index_D_e_y,0.0,0.0,0.0,0.0
L.Index_D_e_z,0.0,0.0,0.0,0.0
L.Index_D_d_x,0.0,0.0,0.0,0.0
L.Index_D_d_y,0.0,0.0,0.0,0.0
L.Index_D_d_z,0.0,0.0,0.0,0.0
L.Middle_M_s_x,0.0,0.0,0.0,0.0
L.Middle_M_s_y,0.0,0.0,0.0,0.0
L.Middle_M_s_z,0.0,0.0,0.0,0.0
L.Middle_M_e_x,0.0,0.0,0.0,0.0
L.Middle_M_e_y,0.0,0.0,0.0,0.0
L.Middle_M_e_z,0.0,0.0,0.0,0.0
L.Middle_M_d_x,0.0,0.0,0.0,0.0
L.Middle_M_d_y,0.0,0.0,0.0,0.0
L.Middle_M_d_z,0.0,0.0,0.0,0.0
L.Middle_P_s_x,0.0,0.0,0.0,0.0
L.Middle_P_s_y,0.0,0.0,0.0,0.0
L.Middle_P_s_z,0.0,0.0,0.0,0.0
L.Middle_P_e_x,0.0,0.0,0.0,0.0
L.Middle_P_e_y,0.0,0.0,0.0,0.0
L.Middle_P_e_z,0.0,0.0,0.0,0.0
L.Middle_P_d_x,0.0,0.0,0.0,0.0
L.Middle_P_d_y,0.0,0.0,0.0,0.0
L.Middle_P_d_z,0.0,0.0,0.0,0.0
L.Middle_I_s_x,0.0,0.0,0.0,0.0
L.Middle_I_s_y,0.0,0.0,0.0,0.0
L.Middle_I_s_z,0.0,0.0,0.0,0.0
L.Middle_I_e_x,0.0,0.0,0.0,0.0
L.Middle_I_e_y,0.0,0.0,0.0,0.0
L.Middle_I_e_z,0.0,0.0,0.0,0.0
L.Middle_I_d_x,0.0,0.0,0.0,0.0
L.Middle_I_d_y,0.0,0.0,0.0,0.0
L.Middle_I_d_z,0.0,0.0,0.0,0.0
L.Middle_D_s_x,0.0,0.0,0.0,0.0
L.Middle_D_s_y,0.0,0.0,0.0,0.0
L.Middle_D_s_z,0.0,0.0,0.0,0.0
L.Middle_D_e_x,0.0,0.0,0.0,0.0
L.Middle_D_e_y,0.0,0.0,0.0,0.0
L.Middle_D_e_z,0.0,0.0,0.0,0.0
L.Middle_D_d_x,0.0,0.0,0.0,0.0
L.Middle_D_d_y,0.0,0.0,0.0,0.0
L.Middle_D_d_z,0.0,0.0,0.0,0.0
L.Ring_M_s_x,0.0,0.0,0.0,0.0
L.Ring_M_s_y,0.0,0.0,0.0,0.0
L.Ring_M_s_z,0.0,0.0,0.0,0.0
L.Ring_M_e_x,0.0,0.0,0.0,0.0
L.Ring_M_e_y,0.0,0.0,0.0,0.0
L.Ring_M_e_z,0.0,0.0,0.0,0.0
L.Ring_M_d_x,0.0,0.0,0.0,0.0
L.Ring_M_d_y,0.0,0.0,0.0,0.0
L.Ring_M_d_z,0.0,0.0,0.0,0.0
L.Ring_P_s_x,0.0,0.0,0.0,0.0
L.Ring_P_s_y,0.0,0.0,0.0,0.0
L.Ring_P_s_z,0.0,0.0,0.0,0.0
L.Ring_P_e_x,0.0,0.0,0.0,0.0
L.Ring_P_e_y,0.0,0.0,0.0,0.0
L.Ring_P_e_z,0.0,0.0,0.0,0.0
L.Ring_P_d_x,0.0,0.0,0.0,0.0
L.Ring_P_d_y,0.0,0.0,0.0,0.0
L.Ring_P_d_z,0.0,0.0,0.0,0.0
L.Ring_I_s_x,0.0,0.0,0.0,0.0
L.Ring_I_s_y,0.0,0.0,0.0,0.0
L.Ring_I_s_z,0.0,0.0,0.0,0.0
L.Ring_I_e_x,0.0,0.0,0.0,0.0
L.Ring_I_e_y,0.0,0.0,0.0,0.0
L.Ring_I_e_z,0.0,0.0,0.0,0.0
L.Ring_I_d_x,0.0,0.0,0.0,0.0
L.Ring_I_d_y,0.0,0.0,0.0,0.0
L.Ring_I_d_z,0.0,0.0,0.0,0.0
L.Ring_D_s_x,0.0,0.0,0.0,0.0
L.Ring_D_s_y,0.0,0.0,0.0,0.0
L.Ring_D_s_z,0.0,0.0,0.0,0.0
L.Ring_D_e_x,0.0,0.0,0.0,0.0
L.Ring_D_e_y,0.0,0.0,0.0,0.0
L.Ring_D_e_z,0.0,0.0,0.0,0.0
L.Ring_D_d_x,0.0,0.0,0.0,0.0
L.Ring_D_d_y,0.0,0.0,0.0,0.0
L.Ring_D_d_z,0.0,0.0,0.0,0.0
L.Pinky_M_s_x,0.0,0.0,0.0,0.0
L.Pinky_M_s_y,0.0,0.0,0.0,0.0
L.Pinky_M_s_z,0.0,0.0,0.0,0.0
L.Pinky_M_e_x,0.0,0.0,0.0,0.0
L.Pinky_M_e_y,0.0,0.0,0.0,0.0
L.Pinky_M_e_z,0.0,0.0,0.0,0.0
L.Pinky_M_d_x,0.0,0.0,0.0,0.0
L.Pinky_M_d_y,0.0,0.0,0.0,0.0
L.Pinky_M_d_z,0.0,0.0,0.0,0.0
L.Pinky_P_s_x,0.0,0.0,0.0,0.0
L.Pinky_P_s_y,0.0,0.0,0.0,0.0
L.Pinky_P_s_z,0.0,0.0,0.0,0.0
L.Pinky_P_e_x,0.0,0.0,0.0,0.0
L.Pinky_P_e_y,0.0,0.0,0.0,0.0
L.Pinky_P_e_z,0.0,0.0,0.0,0.0
L.Pinky_P_d_x,0.0,0.0,0.0,0.0
L.Pinky_P_d_y,0.0,0.0,0.0,0.0
L.Pinky_P_d_z,0.0,0.0,0.0,0.0
L.Pinky_I_s_x,0.0,0.0,0.0,0.0
L.Pinky_I_s_y,0.0,0.0,0.0,0.0
L.Pinky_I_s_z,0.0,0.0,0.0,0.0
L.Pinky_I_e_x,0.0,0.0,0.0,0.0
L.Pinky_I_e_y,0.0,0.0,0.0,0.0
L.Pinky_I_e_z,0.0,0.0,0.0,0.0
L.Pinky_I_d_x,0.0,0.0,0.0,0.0
L.Pinky_I_d_y,0.0,0.0,0.0,0.0
L.Pinky_I_d_z,0.0,0.0,0.0,0.0
L.Pinky_D_s_x,0.0,0.0,0.0,0.0
L.Pinky_D_s_y,0.0,0.0,0.0,0.0
L.Pinky_D_s_z,0.0,0.0,0.0,0.0
L.Pinky_D_e_x,0.0,0.0,0.0,0.0
L.Pinky_D_e_y,0.0,0.0,0.0,0.0
L.Pinky_D_e_z,0.0,0.0,0.0,0.0
L.Pinky_D_d_x,0.0,0.0,0.0,0.0
L.Pinky_D_d_y,0.0,0.0,0.0,0.0
L.Pinky_D_d_z,0.0,0.0,0.0,0.0
R.hand.palm_position_x,45.82759017944,44.63307800292,44.52108917236,44.58602371216
R.hand.palm_position_y,201.6268890382,199.7653839112,199.70285949699996,199.63981323219997
R.hand.palm_position_z,19.124775314319997,18.528586578360002,18.461397933980003,18.394960784920002
R.pitch,25.43923008144,22.543620184859996,22.559009625739996,22.50803558188
R.roll,-0.9653675293352,-0.5727264483680001,-0.2672927034728,-0.3276182449354
R.yaw,-14.3396958034,-15.244439746880001,-15.25120573234,-15.164899119479998
R.Arm direction_x,-0.6726742744444,-0.6716346502304,-0.6710984826088,-0.6720898032188001
R.Arm direction_y,0.4530143618582,0.456145709753,0.45846921205499996,0.45664938688279993
R.Arm direction_z,-0.5849224686622001,-0.5838125944138,-0.5826084733008,-0.5828947186472001
R.wrist position_x,73.24611816406,73.11692504882,72.98538513184,72.99226531984
R.wrist position_y,176.0203125,176.9637573242,176.89414978,176.87851867659998
R.wrist position_z,77.98392181398,78.3513473511,78.28450012208,78.26368865964
R.elbow position_x,240.78748474140002,240.39935913079998,240.13427734360002,240.3880615236
R.elbow position_y,63.1891090393,63.35263977048,62.704320526139995,63.141948699960004
R.elbow position_z,223.6691589354,223.7601501466,223.3933990478,223.4438812256
R.Thumb_M_s_x,38.912357330320006,38.82477416994,38.746282959000006,38.7315574646
R.Thumb_M_s_y,172.66484375,172.9123779296,172.74844970700002,172.74975891120002
R.Thumb_M_s_z,66.96014175412,68.10612335204,67.9878326416,67.94701080322001
R.Thumb_M_e_x,38.912357330320006,38.82477416994,38.746282959000006,38.7315574646
R.Thumb_M_e_y,172.66484375,172.9123779296,172.74844970700002,172.74975891120002
R.Thumb_M_e_z,66.96014175412,68.10612335204,67.9878326416,67.94701080322001
R.Thumb_M_d_x,0.0,0.0,0.0,0.0
R.Thumb_M_d_y,0.0,0.0,0.0,0.0
R.Thumb_M_d_z,0.0,0.0,0.0,0.0
R.Thumb_P_s_x,38.912357330320006,38.82477416994,38.746282959000006,38.7315574646
R.Thumb_P_s_y,172.66484375,172.9123779296,172.74844970700002,172.74975891120002
R.Thumb_P_s_z,66.96014175412,68.10612335204,67.9878326416,67.94701080322001
R.Thumb_P_e_x,27.178363037099995,26.10257720948,25.926725006100003,25.955598449719997
R.Thumb_P_e_y,170.51000976580002,168.1826293946,167.968533325,168.0108306886
R.Thumb_P_e_z,22.84330024718,24.1043411255,24.01973457338,23.96179275514
R.Thumb_P_d_x,0.25482304394259997,0.2762834846972,0.27839783430099996,0.2774510085584
R.Thumb_P_d_y,0.04679577648640001,0.1027142882346,0.10380376428360001,0.1029136359692
R.Thumb_P_d_z,0.9580699801446,0.9555712461472,0.9548397302626,0.9552115321158
R.Thumb_I_s_x,27.178363037099995,26.10257720948,25.926725006100003,25.955598449719997
R.Thumb_I_s_y,170.51000976580002,168.1826293946,167.968533325,168.0108306886
R.Thumb_I_s_z,22.84330024718,24.1043411255,24.01973457338,23.96179275514
R.Thumb_I_e_x,38.17179946898,37.00534591674,36.815553283679996,36.825247955319995
R.Thumb_I_e_y,165.99375915540003,162.1426330566,162.00146484360002,162.021929932
R.Thumb_I_e_z,-7.639780139916001,-6.320127964022001,-6.4241310119640005,-6.48463830948
R.Thumb_I_d_x,-0.33436459898959997,-0.3316069245338,-0.33118293881419997,-0.33059962987900005
R.Thumb_I_d_y,0.13736144453306,0.1837060540914,0.1814879655838,0.18215200006960003
R.Thumb_I_d_z,0.9271407485006001,0.9253580212592002,0.9259479880332,0.9260260581972
R.Thumb_D_s_x,38.17179946898,37.00534591674,36.815553283679996,36.825247955319995
R.Thumb_D_s_y,165.99375915540003,162.1426330566,162.00146484360002,162.021929932
R.Thumb_D_s_z,-7.639780139916001,-6.320127964022001,-6.4241310119640005,-6.48463830948
R.Thumb_D_e_x,56.26140594482,55.23720932005999,55.072296142560006,55.05072784424
R.Thumb_D_e_y,162.0085540774,157.72089538539998,157.6909332274,157.66096801760003
R.Thumb_D_e_z,-20.47339935304,-18.864864730839997,-18.97145652772,-19.05994110108
R.Thumb_D_d_x,-0.8015518307685999,-0.8078552961350001,-0.8089576601981999,-0.8075723648069999
R.Thumb_D_d_y,0.17658473849314,0.195927542448,0.1909999817606,0.1932345479728
R.Thumb_D_d_z,0.5686586380006001,0.5558582425116001,0.5559729456902,0.5572126030922
R.Index_M_s_x,44.1980354309,43.79677276612,43.62864151,43.646484375
R.Index_M_s_y,193.59124755860003,193.88745117179997,193.7516571046,193.7419616698
R.Index_M_s_z,64.40988616944,64.4371185303,64.35944671632,64.29895477294
R.Index_M_e_x,18.183512115480003,16.626834106460002,16.50280036924,16.59185638428
R.Index_M_e_y,211.18842163080004,208.22410278299998,208.05518188480005,208.01485595699995
R.Index_M_e_z,4.68753786087,3.922324371336,3.817047691346,3.7174641132360002
R.Index_M_d_x,0.3833222210406,0.40034719109539996,0.3996974110604,0.39864808321
R.Index_M_d_y,-0.25929315686240006,-0.2112495899202,-0.2107614576818,-0.21031011939039995
R.Index_M_d_z,0.8800047159196,0.8916813731193999,0.8920881032942001,0.8926641106604001
R.Index_P_s_x,18.183512115480003,16.626834106460002,16.50280036924,16.59185638428
R.Index_P_s_y,211.18842163080004,208.22410278299998,208.05518188480005,208.01485595699995
R.Index_P_s_z,4.68753786087,3.922324371336,3.817047691346,3.7174641132360002
R.Index_P_e_x,13.72812633514,11.87815303804,11.76968307496,11.939699554419999
R.Index_P_e_y,212.9220092772,208.85068054200002,208.73354187019999,208.7773223876
R.Index_P_e_z,-36.39980545044,-37.228747558580004,-37.33499526976,-37.44233856202
R.Index_P_d_x,0.10754294544458001,0.11462243497380001,0.1142467588186,0.11229255795480002
R.Index_P_d_y,-0.041844886913820004,-0.015124171786000002,-0.01637407764792,-0.01840421743692
R.Index_P_d_z,0.9917556405068,0.9932939529420001,0.9933173656462,0.993504679203
R.Index_I_s_x,13.72812633514,11.87815303804,11.76968307496,11.939699554419999
R.Index_I_s_y,212.9220092772,208.85068054200002,208.73354187019999,208.7773223876
R.Index_I_s_z,-36.39980545044,-37.228747558580004,-37.33499526976,-37.44233856202
R.Index_I_e_x,11.621348381034,9.60009384155,9.522887802122,9.729470062253998
R.Index_I_e_y,208.8627044678,204.839102173,204.74005432139998,204.82333068839998
R.Index_I_e_z,-59.249263763420004,-60.07529449462,-60.18780364992,-60.305579376240004
R.Index_I_d_x,0.09038993567226002,0.09773863852020001,0.09639729261402,0.09482844918964
R.Index_I_d_y,0.1741618275642,0.1721141427758,0.17133798599240002,0.1696434259414
R.Index_I_d_z,0.9803411245346,0.9802161335946,0.9804849028588001,0.980932378769
R.Index_D_s_x,11.621348381034,9.60009384155,9.522887802122,9.729470062253998
R.Index_D_s_y,208.8627044678,204.839102173,204.74005432139998,204.82333068839998
R.Index_D_s_z,-59.249263763420004,-60.07529449462,-60.18780364992,-60.305579376240004
R.Index_D_e_x,10.176022815707999,7.989776706696,7.934670352936,8.167100715636
R.Index_D_e_y,205.44881896959996,202.00339355440002,201.9171264648,202.028335571
R.Index_D_e_z,-75.24515838621998,-76.22508544922,-76.34202117922,-76.46717224122
R.Index_D_d_x,0.08772443905466001,0.09773866087198,0.09639731049539998,0.09482845366001999
R.Index_D_d_y,0.20720672309399996,0.17211414873580003,0.1713384091852,0.1696430265902
R.Index_D_d_z,0.9708752632141999,0.9802162170412,0.9804848194124001,0.9809325098992
R.Middle_M_s_x,54.280451965320005,53.78050765992,53.60506362914,53.631192016600004
R.Middle_M_s_y,196.88661193860003,197.16037292480001,197.07685546879998,197.048275757
R.Middle_M_s_z,60.40936584472,60.120599365240004,60.06599578858,60.01017608642
R.Middle_M_e_x,37.965989685059995,36.32127075194,36.187707519519996,36.28526916506
R.Middle_M_e_y,214.63648986799998,211.8264617918,211.7538452148,211.68138732920002
R.Middle_M_e_z,1.1524846136573998,-0.06386501900847999,-0.1279421254993,-0.215066611767
R.Middle_M_d_x,0.2534912765026,0.2712785720826,0.27062783837320004,0.2695179343222
R.Middle_M_d_y,-0.2757945090532,-0.2278791308402,-0.2280485033988,-0.2273667424918
R.Middle_M_d_z,0.9207231044769999,0.9351357102393999,0.9352829098704,0.935769355297
R.Middle_P_s_x,37.965989685059995,36.32127075194,36.187707519519996,36.28526916506
R.Middle_P_s_y,214.63648986799998,211.8264617918,211.7538452148,211.68138732920002
R.Middle_P_s_z,1.1524846136573998,-0.06386501900847999,-0.1279421254993,-0.215066611767
R.Middle_P_e_x,22.95993232726,19.854681015,19.74733428954,19.97351150512
R.Middle_P_e_y,206.10783081040003,209.56334533719996,210.01703186039998,209.81423950180002
R.Middle_P_e_z,-39.771116638180004,-43.46996994020001,-43.56837234496,-43.6984649658
R.Middle_P_d_x,0.32285023927679996,0.35427311658880006,0.3537090599538,0.35094193220120007
R.Middle_P_d_y,0.18349118977776,0.04869018569590001,0.03736695051194,0.040171051770439996
R.Middle_P_d_z,0.8804574012758,0.9338676571847999,0.9346061110496,0.9355305671691999
R.Middle_I_s_x,22.95993232726,19.854681015,19.74733428954,19.97351150512
R.Middle_I_s_y,206.10783081040003,209.56334533719996,210.01703186039998,209.81423950180002
R.Middle_I_s_z,-39.771116638180004,-43.46996994020001,-43.56837234496,-43.6984649658
R.Middle_I_e_x,15.83545989994,10.15869693758,10.06722755432,10.36755237582
R.Middle_I_e_y,198.2142791748,204.958657837,205.8007843016,205.4178344726
R.Middle_I_e_z,-56.55674066542,-68.702734375,-68.87545928954,-69.00264892578
R.Middle_I_d_x,0.2598144114016,0.35359197854979996,0.3530130147934,0.35030898451799997
R.Middle_I_d_y,0.28786108791820003,0.16792319118979998,0.1537576287986,0.16032758057120003
R.Middle_I_d_z,0.6121361255644,0.9201854228974,0.9228959202768001,0.9227900147438
R.Middle_D_s_x,15.83545989994,10.15869693758,10.06722755432,10.36755237582
R.Middle_D_s_y,198.2142791748,204.958657837,205.8007843016,205.4178344726
R.Middle_D_s_z,-56.55674066542,-68.702734375,-68.87545928954,-69.00264892578
R.Middle_D_e_x,16.983960342400003,10.64191246032,10.544937515220001,10.84136161804
R.Middle_D_e_y,183.1248413086,187.10400085459997,187.90105285639999,187.538546753
R.Middle_D_e_z,-50.682819366446004,-65.64583282470001,-66.09165802000001,-66.09177093506
R.Middle_D_d_x,-0.06337869912392,-0.026665703952320003,-0.026361879706380004,-0.0261466342956
R.Middle_D_d_y,0.8326934933662,0.9852890968321999,0.9877762794496,0.9866485238076
R.Middle_D_d_z,-0.32414570152739997,-0.16869166195379998,-0.15362089872339998,-0.16063355207439997
R.Ring_M_s_x,65.00214538574,64.44788208008,64.27733764647999,64.30729827882
R.Ring_M_s_y,197.300115967,197.5675567626,197.53871154799998,197.4908477784
R.Ring_M_s_z,56.78485946656,56.315994262699995,56.281384277339995,56.234071350099995
R.Ring_M_e_x,58.93015213011999,57.32353057862,57.190750885,57.28708496094
R.Ring_M_e_y,213.7594482422,211.3231506346,211.34576416,211.2446655274
R.Ring_M_e_z,2.0964082002633995,0.647513949871,0.6208180308342001,0.551917219162
R.Ring_M_d_x,0.10508143939068001,0.1232934772968,0.12263992726799999,0.1214912727476
R.Ring_M_d_y,-0.2848439186812,-0.23805324435220002,-0.23894379138959998,-0.2380225151776
R.Ring_M_d_z,0.9464340686800001,0.9633944272996,0.9632574796676,0.9636310935021999
R.Ring_P_s_x,58.93015213011999,57.32353057862,57.190750885,57.28708496094
R.Ring_P_s_y,213.7594482422,211.3231506346,211.34576416,211.2446655274
R.Ring_P_s_z,2.0964082002633995,0.647513949871,0.6208180308342001,0.551917219162
R.Ring_P_e_x,49.191030883799996,47.79877929686,47.83316650392,47.87351608276
R.Ring_P_e_y,177.55651550299999,173.97654724119997,174.0092315674,173.8995727538
R.Ring_P_e_z,-18.7296405792,-18.60879516602,-18.73682479858,-18.76198806762
R.Ring_P_d_x,0.2260453999044,0.2210698425768,0.2171898931266,0.21848930716520001
R.Ring_P_d_y,0.8402715325356,0.8668161034585999,0.8665823459624,0.8667810797691999
R.Ring_P_d_z,0.48337344527239995,0.44693968296059994,0.44929163455980003,0.44827650189400003
R.Ring_I_s_x,49.191030883799996,47.79877929686,47.83316650392,47.87351608276
R.Ring_I_s_y,177.55651550299999,173.97654724119997,174.0092315674,173.8995727538
R.Ring_I_s_z,-18.7296405792,-18.60879516602,-18.73682479858,-18.76198806762
R.Ring_I_e_x,50.708187103259995,49.56533813474,49.7115814209,49.757443237299995
R.Ring_I_e_y,161.36144104,158.4541320802,158.44773559580003,158.3492156982
R.Ring_I_e_z,2.3688102722185995,3.05978894234,2.894303941726,2.876682329178
R.Ring_I_d_x,-0.0567942455411,-0.06613055169583999,-0.07031785249707999,-0.0705241933465
R.Ring_I_d_y,0.6062573075291999,0.5810765266419999,0.5825395464898,0.5821225047114
R.Ring_I_d_z,-0.7898135662078001,-0.8111563682553999,-0.8097542762755999,-0.8100365042688
R.Ring_D_s_x,50.708187103259995,49.56533813474,49.7115814209,49.757443237299995
R.Ring_D_s_y,161.36144104,158.4541320802,158.44773559580003,158.3492156982
R.Ring_D_s_z,2.3688102722185995,3.05978894234,2.894303941726,2.876682329178
R.Ring_D_e_x,54.16666488648,53.1130218506,53.27537460325999,53.339449310279996
R.Ring_D_e_y,161.6966430666,159.3796325682,159.32742919920003,159.23482971200002
R.Ring_D_e_z,20.001647186280003,20.6998802185,20.533491516100003,20.51187820434
R.Ring_D_d_x,-0.19195537269119997,-0.19690655767899998,-0.19780068695539998,-0.19881154000759999
R.Ring_D_d_y,-0.0186046697199,-0.051367914676660006,-0.0488255046308,-0.04915410056712
R.Ring_D_d_z,-0.9786727070808,-0.9790753245354,-0.9790252089502001,-0.9788036108015999
R.Pinky_M_s_x,76.05715484618,75.54116210935999,75.40495910646,75.42890472412
R.Pinky_M_s_y,191.06963500979998,191.32073364240003,191.34767456059998,191.2805694578
R.Pinky_M_s_z,53.43230590818,53.109232330320005,53.08537216188,53.054488372799995
R.Pinky_M_e_x,77.9146255493,76.40643157960001,76.29418334959999,76.3826538086
R.Pinky_M_e_y,208.457684326,206.3534729006,206.46192016599997,206.3353240968
R.Pinky_M_e_z,3.217625617982,1.7826335668559998,1.7831074714659998,1.7358961343780002
R.Pinky_M_d_x,-0.0347257295623,-0.016176357865339996,-0.01662419661878,-0.017830500006659998
R.Pinky_M_d_y,-0.32507250308979996,-0.2810395836832,-0.2825633645058,-0.281451177597
R.Pinky_M_d_z,0.938771879673,0.9595593690872001,0.9591044545174,0.9594097256659999
R.Pinky_P_s_x,77.9146255493,76.40643157960001,76.29418334959999,76.3826538086
R.Pinky_P_s_y,208.457684326,206.3534729006,206.46192016599997,206.3353240968
R.Pinky_P_s_z,3.217625617982,1.7826335668559998,1.7831074714659998,1.7358961343780002
R.Pinky_P_e_x,65.49798812864,63.84208602906,63.87145233154,63.937645721440006
R.Pinky_P_e_y,183.05548095700004,180.0030975342,180.1041717528,179.9741027832
R.Pinky_P_e_z,-15.56612796784,-15.83561859132,-15.924376106260002,-15.95075969694
R.Pinky_P_d_x,0.364155393839,0.3684873938562,0.3643340885638,0.3649874329566
R.Pinky_P_d_y,0.7449963331224001,0.7728043675424001,0.7730205535889999,0.773122394085
R.Pinky_P_d_z,0.5508903145788,0.5167084693908001,0.5193254232408,0.5187145709992
R.Pinky_I_s_x,65.49798812864,63.84208602906,63.87145233154,63.937645721440006
R.Pinky_I_s_y,183.05548095700004,180.0030975342,180.1041717528,179.9741027832
R.Pinky_I_s_z,-15.56612796784,-15.83561859132,-15.924376106260002,-15.95075969694
R.Pinky_I_e_x,64.37179718018,63.48649215698,63.56346588135999,63.59668731688
R.Pinky_I_e_y,170.7326507568,168.0312133788,168.10098876979998,167.9794250488
R.Pinky_I_e_z,-1.4767254591,-1.266072249412,-1.379497528076,-1.399605607988
R.Pinky_I_d_x,0.05971106067292,0.018853726238000003,0.01632956191896,0.018077746778719997
R.Pinky_I_d_y,0.6533611059188,0.6347540020944,0.6364134430885999,0.6359624743462
R.Pinky_I_d_z,-0.7470254421233999,-0.7724830627438,-0.7711751580238,-0.7715078473092
R.Pinky_D_s_x,64.37179718018,63.48649215698,63.56346588135999,63.59668731688
R.Pinky_D_s_y,170.7326507568,168.0312133788,168.10098876979998,167.9794250488
R.Pinky_D_s_z,-1.4767254591,-1.266072249412,-1.379497528076,-1.399605607988
R.Pinky_D_e_x,67.27121887208,67.00266723634,67.06642913820001,67.08095397948
R.Pinky_D_e_y,169.1668365478,167.000048828,167.03460083020002,166.9139801026
R.Pinky_D_e_z,14.722587203979998,14.94654464722,14.833700370799999,14.817679405200002
R.Pinky_D_d_x,-0.17443751543750002,-0.2115431696176,-0.21074830889719998,-0.20962347090240002
R.Pinky_D_d_y,0.09420387148856,0.062037816643700006,0.06415695399046,0.06410022228958
R.Pinky_D_d_z,-0.9745971083642001,-0.9753975152965999,-0.9754324793814,-0.9756783604620001
