,0,1,2,3,4,5,6,7
L.Thumb_P_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.hand.palm_position_x,128.30498504642,143.4083648684,143.27069397,142.016104126,140.91541748059998,140.28074951180002,138.77232360839997,137.66510009799998
R.hand.palm_position_y,186.5590301514,191.8557800294,190.4966674806,190.014916992,190.99425354,189.038510132,186.11078491199999,185.23234558099998
R.hand.palm_position_z,-0.8759613990780002,-4.724864625932,-7.99626750946,-11.6632818222,-14.162867546080003,-16.218993949879998,-17.7473903656,-18.553022384600002
R.pitch,8.704285348254,5.958015149062,6.611297820608,7.459979485362,6.674876807996,5.7968071440880005,5.349782185996,4.93771413648
R.roll,-15.02596760602,-13.780072955699998,-14.18498808954,-14.733251649480001,-15.78910260182,-15.15314607134,-13.475452833099999,-14.114761962000001
R.yaw,13.05465537485,14.03998163494,14.047777271480001,14.36269441664,13.3000921637,12.422461681,12.354792093259999,12.0524725491
R.Arm direction_x,0.22086755037300004,0.3877757370472,0.3899365484714,0.3918106734752,0.42065026164059993,0.4258442997934,0.4149744987488,0.407018870115
R.Arm direction_y,0.6241864025591999,0.6577606797219999,0.6524105191230001,0.6480507254599999,0.6424876689912,0.6371634244918001,0.6337790489198,0.634218454361
R.Arm direction_z,-0.6710707187652,-0.645738863945,-0.649848639965,-0.65306661129,-0.6404989004134001,-0.642394542694,-0.652755498886,-0.657345056534
R.wrist position_x,121.00693359364,133.5412200928,133.4210601808,131.91557312039998,131.5162078858,131.598071289,130.1979125976,129.458709717
R.wrist position_y,174.4223083494,182.0228302002,180.0769470214,178.80775756819997,180.39826049799998,179.3664123536,177.09793396,176.517959595
R.wrist position_z,58.385160064720004,54.965129089360005,51.64183044434001,47.84833984373999,45.468914794919996,43.61456680298001,42.21189193724,41.5017662048
R.elbow position_x,72.12252731321999,47.71517868042,47.11676940918001,45.1964828491,38.41408004762,37.34635162354,38.35199584962,39.3736000061
R.elbow position_y,36.2717212677,36.4412750244,35.67953948974,35.37529678346,38.19707031252,38.34363250732,36.824214935300006,36.1469841003
R.elbow position_z,206.91261596680002,197.8859039308,195.47221984879997,192.39096069340002,187.22993774419996,185.7951538086,186.68565979,186.991333008
R.Thumb_M_s_x,100.38390884394002,114.6789001464,114.54180755600001,113.07280120840001,112.7100997924,112.7049468996,111.26302948,110.360931396
R.Thumb_M_s_y,179.43209838860002,186.56348876939998,184.8545959474,183.949282837,185.752609253,184.18934326180002,181.0642181396,180.67590332
R.Thumb_M_s_z,39.99812469484,36.306756591799996,32.9890987396,29.109761047379997,27.235887908939997,25.650119781500003,24.14250221254,23.5269031525
R.Thumb_M_e_x,100.38390884394002,114.6789001464,114.54180755600001,113.07280120840001,112.7100997924,112.7049468996,111.26302948,110.360931396
R.Thumb_M_e_y,179.43209838860002,186.56348876939998,184.8545959474,183.949282837,185.752609253,184.18934326180002,181.0642181396,180.67590332
R.Thumb_M_e_z,39.99812469484,36.306756591799996,32.9890987396,29.109761047379997,27.235887908939997,25.650119781500003,24.14250221254,23.5269031525
R.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R.Thumb_P_s_x,100.38390884394002,114.6789001464,114.54180755600001,113.07280120840001,112.7100997924,112.7049468996,111.26302948,110.360931396
R.Thumb_P_s_y,179.43209838860002,186.56348876939998,184.8545959474,183.949282837,185.752609253,184.18934326180002,181.0642181396,180.67590332
R.Thumb_P_s_z,39.99812469484,36.306756591799996,32.9890987396,29.109761047379997,27.235887908939997,25.650119781500003,24.14250221254,23.5269031525
R.Thumb_P_e_x,105.65565414424,121.19940643319998,120.86207122820001,119.3099960326,118.79272003180002,118.61152954100001,116.7875061034,115.453590393
R.Thumb_P_e_y,167.98545837399996,173.3409851076,172.01445922859997,171.83241882320002,173.15181884760005,170.8294494628,167.3253692626,166.774749756
R.Thumb_P_e_z,1.5182839244593997,-1.864314675332,-5.345307064056,-9.473141860964,-11.216194725040001,-12.57174129486,-14.00314598082,-14.620353698699999
R.Thumb_P_d_x,-0.12883267998688,-0.1593503147362,-0.1544567257164,-0.152426660061,-0.1486491203308,-0.14434704482580002,-0.13500901758660003,-0.124456115067
R.Thumb_P_d_y,0.2797368332742,0.32313597798360005,0.31379157304780003,0.2961159825324,0.3079423546792,0.32649355530740004,0.3357545971872,0.33972105383900003
R.Thumb_P_d_z,0.9403832554818001,0.9328374505043999,0.9368290662764001,0.9429019212722001,0.9397049307822002,0.9340786814689999,0.9322161555290001,0.932255446911
R.Thumb_I_s_x,105.65565414424,121.19940643319998,120.86207122820001,119.3099960326,118.79272003180002,118.61152954100001,116.7875061034,115.453590393
R.Thumb_I_s_y,167.98545837399996,173.3409851076,172.01445922859997,171.83241882320002,173.15181884760005,170.8294494628,167.3253692626,166.774749756
R.Thumb_I_s_z,1.5182839244593997,-1.864314675332,-5.345307064056,-9.473141860964,-11.216194725040001,-12.57174129486,-14.00314598082,-14.620353698699999
R.Thumb_I_e_x,117.62575225839998,133.5030761718,132.8231658936,131.37574157720002,130.4650390626,130.33109436019998,129.1617797854,127.60466766399999
R.Thumb_I_e_y,155.1905273438,159.79596557620002,158.73621826180002,158.7426361084,159.7701507566,157.1159973144,153.32737121600002,152.54284668
R.Thumb_I_e_z,-19.7596569061,-22.688498306280003,-26.53667182924,-30.72309875486,-32.50417175292,-33.61959762573999,-34.48280105592,-35.0729484558
R.Thumb_I_d_x,-0.4317919433116,-0.443824660778,-0.43146713376039997,-0.435242128372,-0.4210502147672,-0.4227545619010001,-0.44637150168440004,-0.43832033872599996
R.Thumb_I_d_y,0.46154576540000003,0.4886032998558,0.47897995710360003,0.47218175530440004,0.48271077275280005,0.49467917680759993,0.5049433708191999,0.513381004333
R.Thumb_I_d_z,0.7675495505332001,0.7511812686922,0.7644264817238,0.7665400028228,0.7679114460945999,0.7592497944832,0.7387532234192001,0.737777233124
R.Thumb_D_s_x,117.62575225839998,133.5030761718,132.8231658936,131.37574157720002,130.4650390626,130.33109436019998,129.1617797854,127.60466766399999
R.Thumb_D_s_y,155.1905273438,159.79596557620002,158.73621826180002,158.7426361084,159.7701507566,157.1159973144,153.32737121600002,152.54284668
R.Thumb_D_s_z,-19.7596569061,-22.688498306280003,-26.53667182924,-30.72309875486,-32.50417175292,-33.61959762573999,-34.48280105592,-35.0729484558
R.Thumb_D_e_x,129.62274322501997,145.4407196046,144.5467773436,143.3301696778,142.057785034,142.0117065432,141.7250122072,140.131530762
R.Thumb_D_e_y,144.58276824939998,148.9141601562,147.94667358399997,147.90044555679998,148.715710449,145.99196167,142.1777038574,141.186447144
R.Thumb_D_e_z,-29.972428512559997,-32.74653663636,-36.93883514404,-40.80271911622,-42.774775695799995,-43.70787277222,-43.41914749144,-43.8021430969
R.Thumb_D_d_x,-0.6304705262183999,-0.6273517370226,-0.6161038756372,-0.6282337665558,-0.6092264771462,-0.6138439416884,-0.6602279543878,-0.65831643343
R.Thumb_D_d_y,0.5574630737304,0.5718649268149999,0.5670164227483999,0.5697830200195999,0.580937242508,0.5845945119856,0.5859417200088,0.5968057513239999
R.Thumb_D_d_z,0.5367055296897999,0.528574001789,0.5466586112976001,0.5297081351281999,0.539744758606,0.5301628351209999,0.46962640881520007,0.458739906549
R.Index_M_s_x,112.59845428474,126.790209961,126.74190673819999,125.42627105699998,125.19733428959998,124.95037384039999,123.10688171379999,122.325546265
R.Index_M_s_y,193.96692199700001,201.0622589112,199.3335235596,198.38360900840001,199.9565185546,198.46411437980004,195.6134216308,195.07553100599998
R.Index_M_s_z,36.03295898436,31.760691833500005,28.620789337139996,25.03577423094,22.7785545349,20.77061309814,19.082164764399998,18.3243083954
R.Index_M_e_x,114.06941375718,129.4490722658,129.3511932374,128.2823425294,126.86659851060001,125.79233551019999,124.06337738020002,122.905784607
R.Index_M_e_y,197.00747070320003,201.0633636476,200.1014160156,200.15292358380003,201.1255737302,198.57543029779998,194.90359191879998,194.066818237
R.Index_M_e_z,-23.67546463012,-28.488213729840005,-31.624925994879998,-35.17763595582001,-37.49321823122,-39.5292488098,-41.21370162966001,-41.972206115700004
R.Index_M_d_x,-0.024390889704340002,-0.044088240712900004,-0.04326619282364,-0.04735829010604,-0.02767910286786,-0.013961086980999998,-0.01586024686694,-0.00962129049003
R.Index_M_d_y,-0.05041721796142801,-1.83182768522e-05,-0.012732899654660002,-0.0293380998075,-0.0193848270923,-0.0018457982456319994,0.011770126037305999,0.0167260896415
R.Index_M_d_z,0.990062332153,0.9990243792534,0.9989714622498,0.9984358549118,0.9994035601618,0.999869298935,0.9998030781745999,0.999813735485
R.Index_P_s_x,114.06941375718,129.4490722658,129.3511932374,128.2823425294,126.86659851060001,125.79233551019999,124.06337738020002,122.905784607
R.Index_P_s_y,197.00747070320003,201.0633636476,200.1014160156,200.15292358380003,201.1255737302,198.57543029779998,194.90359191879998,194.066818237
R.Index_P_s_z,-23.67546463012,-28.488213729840005,-31.624925994879998,-35.17763595582001,-37.49321823122,-39.5292488098,-41.21370162966001,-41.972206115700004
R.Index_P_e_x,119.16194000238002,138.9082733152,137.94836120600002,135.58000183099998,133.78223876959999,132.5313964842,130.07571105979997,128.41847229
R.Index_P_e_y,190.1888366698,194.73650207519998,194.8395294188,194.7428894042,194.9951843262,192.17388305659998,188.043017578,186.773910522
R.Index_P_e_z,-56.295874023420005,-61.50703811648,-65.06759567262,-68.90470733644,-71.1795639038,-73.20052337646,-74.93128967286,-75.6858825684
R.Index_P_d_x,-0.1457873344422,-0.270795238018,-0.2461172044278,-0.20891526043399997,-0.1979789257048,-0.19292387366299998,-0.17211933433999999,-0.15781560540200001
R.Index_P_d_y,0.19520185291764,0.1811235427856,0.15063574612140002,0.15487688183800002,0.1754989892244,0.1832616329192,0.1964025229212,0.20877921581300002
R.Index_P_d_z,0.9338475227356,0.945253264904,0.9573869347571999,0.9655287742614,0.9643628239631999,0.9639314532278,0.9652572751044,0.965145230293
R.Index_I_s_x,119.16194000238002,138.9082733152,137.94836120600002,135.58000183099998,133.78223876959999,132.5313964842,130.07571105979997,128.41847229
R.Index_I_s_y,190.1888366698,194.73650207519998,194.8395294188,194.7428894042,194.9951843262,192.17388305659998,188.043017578,186.773910522
R.Index_I_s_z,-56.295874023420005,-61.50703811648,-65.06759567262,-68.90470733644,-71.1795639038,-73.20052337646,-74.93128967286,-75.6858825684
R.Index_I_e_x,120.95923004158001,143.14631958,141.5868072508,138.327648926,136.41464843759996,135.2944396972,132.3809417724,130.373718262
